"id","product_name","expiration","detail","created_at","updated_at","open_date","consumed","user_id"
2,"焼肉のたれ","2020-09-12","株式会社永野","2020-02-19 07:36:49","2020-02-19 07:36:49",NULL,1,1
12,"青菜のタイ風炒め","2019-10-16","ハウス","2020-02-19 07:37:56","2020-02-19 07:37:56",NULL,1,1
22,"山芋グラタンソース","2019-09-12","ダイショー","2020-02-19 07:38:48","2020-02-19 07:38:48",NULL,1,1
32,"米粉のカレールー","2020-07-08","コスモ食品","2020-02-19 07:39:43","2020-02-19 07:39:43",NULL,1,1
42,"サルサソース","2020-08-17","カゴメ","2020-02-19 07:40:27","2020-02-19 07:40:27",NULL,1,1
52,"完熟ソース","2020-08-01","鳥居食品","2020-02-19 07:41:36","2020-02-19 07:41:36",NULL,1,1
62,"本みりん","2020-12-01","養命酒製造","2020-02-19 07:42:43","2020-02-19 07:42:43",NULL,1,1
72,"かにのり","2020-09-03","タケサンフーズ","2020-02-19 07:43:40","2020-02-19 07:43:40",NULL,1,1
82,"バターチキンカレー","2022-06-26","いなば","2020-02-19 07:44:39","2020-02-19 07:44:39",NULL,1,1
92,"かつお油漬フレーク","2020-08-19","イオン","2020-02-19 07:45:42","2020-02-19 07:45:42",NULL,1,1
102,"小いか醤油煮","2020-07-25","伊藤食品","2020-02-19 07:46:51","2020-02-19 07:46:51",NULL,1,1
112,"釜揚げしらす","2021-04-27","山梨罐詰","2020-02-19 07:48:00","2020-02-19 07:48:00",NULL,1,1
122,"小いか醤油煮","2020-07-25","伊藤食品","2020-02-19 07:48:48","2020-02-19 07:48:48",NULL,1,1
132,"オリーブオイルツナ","2020-10-01","宝幸","2020-02-19 07:54:48","2020-02-19 07:54:48",NULL,1,1
142,"オリーブオイルツナ","2020-08-01","宝幸","2020-02-19 07:55:14","2020-02-19 07:55:14",NULL,1,1
152,"サラダチキン","2020-07-01","宝幸","2020-02-19 07:55:47","2020-02-19 07:55:47",NULL,1,1
162,"サラダチキン","2020-07-01","宝幸","2020-02-19 07:56:14","2020-02-19 07:56:14",NULL,1,1
172,"シャキッとコーン","2021-08-03","はごろもフーズ","2020-02-19 07:57:15","2020-02-19 07:57:15",NULL,1,1
182,"シャキッとコーン","2021-08-03","はごろもフーズ","2020-02-19 07:58:07","2020-02-19 07:58:07",NULL,1,1
192,"シャキッとコーン","2021-08-03","はごろもフーズ","2020-02-19 07:58:28","2020-02-19 07:58:28",NULL,1,1
202,"はちみつ　りんご","2021-05-01","九州蜂の子","2020-02-19 08:00:10","2020-02-19 08:00:10",NULL,1,1
212,"はちみつ　菩提樹","2021-05-01","九州蜂の子","2020-02-19 08:01:01","2020-02-19 08:01:01",NULL,1,1
222,"フライドオニオン","2020-09-02","ユウキ食品","2020-02-19 08:03:59","2020-02-19 08:03:59",NULL,1,1
232,"かき薫製油漬け","2021-10-01","国分グループ","2020-02-19 08:05:07","2020-02-19 08:05:07",NULL,1,1
242,"かき水煮","2020-02-16","伊藤食品","2020-02-19 08:05:49","2020-02-19 08:05:49",NULL,1,1
252,"さば味噌煮","2020-07-27","伊藤食品","2020-02-19 08:06:27","2020-02-19 08:06:27",NULL,1,1
262,"さば水煮","2021-06-12","伊藤食品","2020-02-19 08:07:09","2020-02-19 08:07:09",NULL,1,1
272,"さば水煮","2021-07-07","伊藤食品","2020-02-19 08:07:43","2020-02-19 08:07:43",NULL,1,1
282,"いか味付け","2020-09-21","伊藤食品","2020-02-19 08:09:14","2020-02-19 08:09:14",NULL,1,1
292,"さば水煮","2021-10-31","高木商店","2020-02-19 08:09:44","2020-02-19 08:09:44",NUL,1,1L
302,"さば水煮","2021-11-01","日本水産","2020-02-19 08:10:27","2020-02-19 08:10:27",NULL,1,1
312,"さば味噌煮","2021-10-01","日本水産","2020-02-19 08:11:18","2020-02-19 08:11:18",NULL,1,1
322,"さばオリーブオイル漬け","2022-02-16","三星","2020-02-19 08:13:06","2020-02-19 08:13:06",NULL,1,1
332,"さばオリーブオイル漬け","2022-03-08","岩手県産","2020-02-19 08:14:21","2020-02-19 08:14:21",NULL,1,1
342,"さばレモンバジル","2022-02-21","岩手県産","2020-02-19 08:15:25","2020-02-19 08:15:25",NULL,1,1
352,"さばレモンバジル","2022-01-18","岩手県産","2020-02-19 08:16:11","2020-02-19 08:16:11",NULL,1,1
362,"さばパプリカチリソース","2022-02-23","岩手県産","2020-02-19 08:17:00","2020-02-19 08:17:00",NULL,1,1
372,"たらば蟹","2021-05-01","ハチカン","2020-02-19 08:18:02","2020-02-19 08:18:02",NULL,1,1
382,"ツナフレーク","2020-10-15","ヤオコー","2020-02-19 08:18:39","2020-02-19 08:18:39",NULL,1,1
392,"べにずわいがに","2020-08-01","マルハニチロ","2020-02-19 08:19:28","2020-02-19 08:19:28",NULL,1,1
402,"カレイの中骨煮付","2021-08-01","キョクヨー","2020-02-19 08:20:29","2020-02-19 08:20:29",NULL,1,1
412,"サバカレー","2022-02-27","信田缶詰","2020-02-19 08:22:02","2020-02-19 08:22:02",NULL,1,1
422,"さば味付き","2022-12-10","福井缶詰","2020-02-26 07:42:52","2020-02-26 07:42:52",NULL,1,1
432,"さば水煮","2022-12-04","福井缶詰","2020-02-26 07:43:33","2020-02-26 07:43:33",NULL,1,1
442,"さば水煮","2022-09-03","信田缶詰","2020-02-26 07:44:13","2020-02-26 07:44:13",NULL,1,1
452,"さば水煮","2023-01-06","伊藤食品","2020-02-26 07:44:42","2020-02-26 07:44:42",NULL,1,1
462,"さばオリーブオイル漬け","2022-05-27","富永食品","2020-02-26 07:45:45","2020-02-26 07:45:45",NULL,1,1
472,"さばオリーブオイル漬け","2022-06-27","富永食品","2020-02-26 07:46:20","2020-02-26 07:46:20",NULL,1,1
482,"さばオイル漬け","2022-08-01","日本水産","2020-02-26 07:47:13","2020-02-26 07:47:13",NULL,1,1
492,"さばトマト煮じゃがいも入り","2022-03-01","相浦缶詰","2020-02-26 07:48:20","2020-02-26 07:48:20",NULL,1,1
502,"かつお油漬フレーク","2022-11-01","はごろもフーズ","2020-02-26 07:49:06","2020-02-26 07:49:06",NULL,1,1
512,"かつお油漬フレーク","2022-11-01","はごろもフーズ","2020-02-26 07:49:28","2020-02-26 07:49:28",NULL,1,1
522,"かつお油漬フレーク","2022-11-01","はごろもフーズ","2020-02-26 07:50:04","2020-02-26 07:50:04",NULL,1,1
532,"かつお油漬フレーク","2022-11-01","はごろもフーズ","2020-02-26 07:50:24","2020-02-26 07:50:24",NULL,1,1
542,"焼き鯖","2020-03-25","ふくや","2020-02-26 07:51:35","2020-02-26 07:51:35",NULL,1,1
552,"さんま塩焼","2022-05-01","極洋","2020-02-26 07:52:47","2020-02-26 07:52:47",NULL,1,1
562,"さんま蒲焼","2022-12-01","田原缶詰","2020-02-26 07:53:33","2020-02-26 07:53:33",NULL,1,1
572,"トマトピューレ","2022-01-01","日欧商事","2020-02-26 07:54:33","2020-02-26 07:54:33",NULL,1,1
582,"トマトピューレ","2022-04-08","キッコーマン","2020-02-26 07:55:16","2020-02-26 07:55:16",NULL,1,1
592,"トマトピューレ","2022-04-08","キッコーマン","2020-02-26 07:55:55","2020-02-26 07:55:55",NULL,1,1
622,"酸辣湯","2012-03-07","ニチレイ","2020-02-19 07:36:49","2020-02-19 07:36:49",NULL,1,1
632,"酸辣湯","2021-04-17","kaldi","2020-02-19 07:37:56","2020-02-19 07:37:56",NULL,1,1
642,"酸辣湯","2021-05-27","SB","2020-02-19 07:38:48","2020-02-19 07:38:48",NULL,1,1
652,"クリームマッシュルーム","2021-02-01","キャンベル","2020-02-19 07:39:43","2020-02-19 07:39:43",NULL,1,1
662,"クリームチキン","2020-12-01","キャンベル","2020-02-19 07:40:27","2020-02-19 07:40:27",NULL,1,1
672,"チキンヌードル","2021-05-01","キャンベル","2020-02-19 07:41:36","2020-02-19 07:41:36",NULL,1,1
